,SS,RA_MMS,RA_rsFC,RA_MMS_o,RA_rsFC_o,Subject_left,Subject_right
272,1.417755257451007,0.9010989177937208,-0.4496453101785432,-0.08370954722345703,-0.15326068119366298,21,24
273,0.9451701716340047,-1.2551271936884894,0.712766012419949,-0.4457000253517853,-0.0800064860304397,22,23
274,1.6803025273493413,-0.01347184641652599,-0.3721791752350776,-0.23724906075391883,-0.14837882977208205,22,24
275,0.21003781591866774,-0.7576704040259791,0.46760549992351413,-0.3621862323505818,-0.09545629771033926,23,24
276,-2.0478687052070095,0.5783209085550364,0.8373077786398689,-0.13789800420921472,-0.07215796746280201,2,1
277,-0.36756617785766793,0.07296485221304042,1.3723870524723099,-0.2227379379648332,-0.03843771647153016,3,1
278,-1.942849797247676,-1.3648941834708859,-3.096073133324324,-0.46412787246041864,-0.32003636246347367,4,1
279,-1.4177552574510064,-1.2121871912996904,0.6454929610429607,-0.4384911932572385,-0.08424597779982401,5,1
280,-2.1528876131663433,0.09747439829006228,0.5592861416207429,-0.21862323855743637,-0.08967865989056545,6,1
281,-1.7853214353086753,-0.9729504126939295,-0.9221201474050484,-0.39832776354445676,-0.18303565263710397,7,1
282,-1.0501890795933382,-0.22379228992089154,-0.13134175845410226,-0.27255797269913784,-0.13320145599010458,8,1
283,-2.3104159751053444,-0.8767500702165146,1.3261623681804062,-0.3821775055617398,-0.041350757646067215,9,1
284,-0.052509453979667005,0.646575514444763,1.2148383725274383,-0.12643931845779388,-0.048366303301354274,10,1
285,-1.4177552574510064,0.8357616262555893,0.7096953571495728,-0.09467846985988682,-0.08019999617274653,11,1
286,-1.7853214353086753,-0.5912640494642417,0.29944345664537325,-0.33424968361359075,-0.10605372987385775,12,1
287,-0.8401512636746702,-1.5286834082871528,-0.3820533558286981,-0.49162505352495556,-0.14900109242405368,13,1
288,-0.577603993776336,-0.3927830779594879,0.79134979482432,-0.3009284000099005,-0.07505420139504437,14,1
289,-1.0501890795933382,-0.25255006395214086,0.885960298673334,-0.27738587099609446,-0.06909192609824699,15,1
290,-1.4177552574510064,1.159791502744301,0.4603020473211073,-0.040279847519958945,-0.09591655522151532,16,1
291,-1.4177552574510064,-1.1904350980491127,-0.4534246705990813,-0.4348394191718872,-0.15349885334534108,17,1
292,-0.8401512636746702,0.4239901879328469,1.2432265605826813,-0.16380727738349832,-0.0465773032910306,18,1
293,-0.4725850858170025,-1.0409588548794144,0.5858162021909517,-0.4097451229634852,-0.08800675752956832,19,1
294,-0.2100378159186672,0.3799550865812294,1.4096480444335144,-0.17119995633670138,-0.03608955973558259,20,1
295,-0.2100378159186672,-0.06262941857505293,-0.23761204793295906,-0.24550170779985447,-0.13989852128376856,21,1
296,0.052509453979667005,-1.2306467003875676,1.0704369753126297,-0.44159020336807586,-0.05746635930370747,22,1
297,-1.4177552574510064,0.5072922999953323,0.36475878227889197,-0.1498223936952704,-0.10193761235324417,23,1
298,-0.6826229017356694,-0.7147225279235297,-0.23416043239881065,-0.35497607840516143,-0.13968100334235545,24,1
299,-0.10501890795933373,0.4757499281984781,0.9393018581824298,-0.15511777444742902,-0.06573038536423637,3,2
300,-1.6803025273493413,-0.1894189183976208,-1.6749396427373338,-0.26678731946090295,-0.23047771136591322,4,2
